"y" "group" "x1" "x2"
"1" 7 1 0 0.22
"2" 4 1 0.11 0.78
"3" 9 1 0.22 0.33
"4" 0 1 0.33 0.67
"5" 8 1 0.44 0.56
"6" 16 1 0.56 0
"7" 8 1 0.67 1
"8" 8 1 0.78 0.89
"9" 32 1 0.89 0.11
"10" 23 1 1 0.44
"11" 5 2 0 0.22
"12" 4 2 0.11 0.78
"13" 2 2 0.22 0.33
"14" 1 2 0.33 0.67
"15" 5 2 0.44 0.56
"16" 9 2 0.56 0
"17" 4 2 0.67 1
"18" 4 2 0.78 0.89
"19" 21 2 0.89 0.11
"20" 15 2 1 0.44
"21" 1 3 0 0.22
"22" 0 3 0.11 0.78
"23" 1 3 0.22 0.33
"24" 4 3 0.33 0.67
"25" 2 3 0.44 0.56
"26" 7 3 0.56 0
"27" 4 3 0.67 1
"28" 3 3 0.78 0.89
"29" 7 3 0.89 0.11
"30" 4 3 1 0.44
"31" 4 4 0 0.22
"32" 0 4 0.11 0.78
"33" 0 4 0.22 0.33
"34" 4 4 0.33 0.67
"35" 3 4 0.44 0.56
"36" 3 4 0.56 0
"37" 3 4 0.67 1
"38" 7 4 0.78 0.89
"39" 10 4 0.89 0.11
"40" 10 4 1 0.44
"41" 1 5 0 0.22
"42" 1 5 0.11 0.78
"43" 1 5 0.22 0.33
"44" 2 5 0.33 0.67
"45" 7 5 0.44 0.56
"46" 4 5 0.56 0
"47" 1 5 0.67 1
"48" 2 5 0.78 0.89
"49" 13 5 0.89 0.11
"50" 14 5 1 0.44
"51" 5 6 0 0.22
"52" 3 6 0.11 0.78
"53" 6 6 0.22 0.33
"54" 7 6 0.33 0.67
"55" 9 6 0.44 0.56
"56" 23 6 0.56 0
"57" 6 6 0.67 1
"58" 9 6 0.78 0.89
"59" 14 6 0.89 0.11
"60" 20 6 1 0.44
"61" 1 7 0 0.22
"62" 3 7 0.11 0.78
"63" 6 7 0.22 0.33
"64" 3 7 0.33 0.67
"65" 4 7 0.44 0.56
"66" 8 7 0.56 0
"67" 2 7 0.67 1
"68" 6 7 0.78 0.89
"69" 18 7 0.89 0.11
"70" 14 7 1 0.44
"71" 3 8 0 0.22
"72" 1 8 0.11 0.78
"73" 4 8 0.22 0.33
"74" 3 8 0.33 0.67
"75" 4 8 0.44 0.56
"76" 10 8 0.56 0
"77" 3 8 0.67 1
"78" 6 8 0.78 0.89
"79" 15 8 0.89 0.11
"80" 20 8 1 0.44
"81" 3 9 0 0.22
"82" 2 9 0.11 0.78
"83" 2 9 0.22 0.33
"84" 3 9 0.33 0.67
"85" 6 9 0.44 0.56
"86" 9 9 0.56 0
"87" 6 9 0.67 1
"88" 4 9 0.78 0.89
"89" 17 9 0.89 0.11
"90" 14 9 1 0.44
"91" 1 10 0 0.22
"92" 1 10 0.11 0.78
"93" 4 10 0.22 0.33
"94" 4 10 0.33 0.67
"95" 2 10 0.44 0.56
"96" 5 10 0.56 0
"97" 7 10 0.67 1
"98" 4 10 0.78 0.89
"99" 16 10 0.89 0.11
"100" 9 10 1 0.44
"101" 6 11 0 0.22
"102" 2 11 0.11 0.78
"103" 8 11 0.22 0.33
"104" 5 11 0.33 0.67
"105" 15 11 0.44 0.56
"106" 21 11 0.56 0
"107" 8 11 0.67 1
"108" 17 11 0.78 0.89
"109" 31 11 0.89 0.11
"110" 31 11 1 0.44
"111" 1 12 0 0.22
"112" 2 12 0.11 0.78
"113" 1 12 0.22 0.33
"114" 4 12 0.33 0.67
"115" 4 12 0.44 0.56
"116" 9 12 0.56 0
"117" 8 12 0.67 1
"118" 5 12 0.78 0.89
"119" 26 12 0.89 0.11
"120" 18 12 1 0.44
"121" 0 13 0 0.22
"122" 0 13 0.11 0.78
"123" 1 13 0.22 0.33
"124" 1 13 0.33 0.67
"125" 3 13 0.44 0.56
"126" 3 13 0.56 0
"127" 1 13 0.67 1
"128" 2 13 0.78 0.89
"129" 2 13 0.89 0.11
"130" 3 13 1 0.44
"131" 2 14 0 0.22
"132" 1 14 0.11 0.78
"133" 6 14 0.22 0.33
"134" 2 14 0.33 0.67
"135" 7 14 0.44 0.56
"136" 12 14 0.56 0
"137" 3 14 0.67 1
"138" 8 14 0.78 0.89
"139" 18 14 0.89 0.11
"140" 26 14 1 0.44
"141" 2 15 0 0.22
"142" 0 15 0.11 0.78
"143" 1 15 0.22 0.33
"144" 2 15 0.33 0.67
"145" 2 15 0.44 0.56
"146" 7 15 0.56 0
"147" 4 15 0.67 1
"148" 2 15 0.78 0.89
"149" 10 15 0.89 0.11
"150" 13 15 1 0.44
"151" 3 16 0 0.22
"152" 1 16 0.11 0.78
"153" 4 16 0.22 0.33
"154" 1 16 0.33 0.67
"155" 2 16 0.44 0.56
"156" 4 16 0.56 0
"157" 2 16 0.67 1
"158" 0 16 0.78 0.89
"159" 8 16 0.89 0.11
"160" 11 16 1 0.44
"161" 0 17 0 0.22
"162" 0 17 0.11 0.78
"163" 1 17 0.22 0.33
"164" 3 17 0.33 0.67
"165" 4 17 0.44 0.56
"166" 13 17 0.56 0
"167" 3 17 0.67 1
"168" 2 17 0.78 0.89
"169" 14 17 0.89 0.11
"170" 7 17 1 0.44
"171" 0 18 0 0.22
"172" 1 18 0.11 0.78
"173" 0 18 0.22 0.33
"174" 1 18 0.33 0.67
"175" 0 18 0.44 0.56
"176" 6 18 0.56 0
"177" 1 18 0.67 1
"178" 1 18 0.78 0.89
"179" 5 18 0.89 0.11
"180" 11 18 1 0.44
"181" 2 19 0 0.22
"182" 2 19 0.11 0.78
"183" 6 19 0.22 0.33
"184" 0 19 0.33 0.67
"185" 1 19 0.44 0.56
"186" 8 19 0.56 0
"187" 4 19 0.67 1
"188" 0 19 0.78 0.89
"189" 12 19 0.89 0.11
"190" 10 19 1 0.44
"191" 1 20 0 0.22
"192" 0 20 0.11 0.78
"193" 0 20 0.22 0.33
"194" 2 20 0.33 0.67
"195" 3 20 0.44 0.56
"196" 5 20 0.56 0
"197" 2 20 0.67 1
"198" 5 20 0.78 0.89
"199" 5 20 0.89 0.11
"200" 12 20 1 0.44
"201" 0 21 0 0.22
"202" 0 21 0.11 0.78
"203" 3 21 0.22 0.33
"204" 2 21 0.33 0.67
"205" 1 21 0.44 0.56
